weight,mpg
1968.0,38.1
2120.0,32.1
2019.0,37.2
2678.0,28.0
2870.0,26.4
3003.0,24.3
3381.0,19.1
2188.0,34.3
2711.0,29.8
2542.0,31.3
2434.0,37.0
2265.0,32.2
2110.0,46.6
2800.0,27.9
2110.0,40.8
2085.0,44.3
2335.0,43.4
2950.0,36.4
3250.0,30.0
1850.0,44.6
2145.0,33.8
1845.0,29.8
2910.0,32.7
2420.0,23.7
2500.0,35.0
2290.0,32.4
2490.0,27.2
2635.0,26.6
2620.0,25.8
2725.0,23.5
2385.0,30.0
1755.0,39.1
1875.0,39.0
1760.0,35.1
2065.0,32.3
1975.0,37.0
2050.0,37.7
1985.0,34.1
2215.0,34.7
2045.0,34.4
2380.0,29.9
2190.0,33.0
2210.0,33.7
2350.0,32.4
2615.0,32.9
2635.0,31.6
3230.0,28.1
3160.0,30.7
2900.0,25.4
2930.0,24.2
3415.0,22.4
3725.0,26.6
3060.0,20.2
3465.0,17.6
2605.0,28.0
2640.0,27.0
2395.0,34.0
2575.0,31.0
2525.0,29.0
2735.0,27.0
2865.0,24.0
1980.0,36.0
2025.0,37.0
1970.0,31.0
2125.0,38.0
2125.0,36.0
2160.0,36.0
2205.0,36.0
2245.0,34.0
1965.0,38.0
1965.0,32.0
1995.0,38.0
2945.0,25.0
3015.0,38.0
2585.0,26.0
2835.0,22.0
2665.0,32.0
2370.0,36.0
2950.0,27.0
2790.0,27.0
2130.0,44.0
2295.0,32.0
2625.0,28.0
2720.0,31.0
