stock returns of Hutchison (0013.HK),stock return of Cheung kong (0001.HK)
-0.003610701,-0.003543814
-0.003520563,-0.017204629
-0.010759595,-0.010379551
-0.007117438,-0.010379551
-0.010915608,-0.014088917
-0.011036073,-0.014290251
-0.018246986,-0.021510516
-0.022236973,-0.021746134
-0.015105227,-0.010951291
-0.021831215,-0.010213277
-0.014504432,-0.013473054
-0.010956664,-0.006828528
-0.014091197,-0.003206997
-0.010532935,-0.01641726
-0.007149666,-0.013293944
-0.007653061,-0.000295421
-0.01773491,-0.016188583
-0.021383648,-0.019919169
-0.011086118,-0.010014728
-0.00357433,-0.006843201
-0.014837763,-0.017076093
-0.015061238,-0.010515087
-0.003850017,-0.00678733
-0.015350877,-0.010220953
-0.003769059,-0.013971147
-0.00770944,-0.01426799
-0.011740331,-0.007237256
-0.008036338,-0.010776545
-0.028002818,-0.029317526
-0.012370384,-0.014741617
-0.008473015,-0.003781651
-0.016905072,-0.007592012
-0.025699169,-0.03043406
-0.017195767,-0.007737595
-0.008231926,-0.011056911
-0.028690004,-0.022604423
-0.028924868,-0.030088787
-0.012738854,-0.023224275
-0.012686567,-0.015656909
-0.03420257,-0.031466113
-0.029915334,-0.043223696
-0.039565555,-0.024658027
-0.009289176,-0.021221628
-0.013129948,-0.016114751
-0.026804931,-0.028797696
-0.018295135,-0.021312083
-0.03256195,-0.030297292
-0.013925865,-0.021308411
-0.023468328,-0.030557678
-0.014461931,-0.013593381
-0.014324837,-0.022261277
-0.009345794,-0.004471229
-0.018210927,-0.021400413
-0.013860579,-0.017648187
-0.009301364,-0.004296036
-0.018986021,-0.013532065
-0.009783071,-0.017690513
-0.004725086,-0.004531127
-0.023784686,-0.02706413
-0.052361616,-0.0276154
-0.02475356,-0.023393002
-0.014375562,-0.009373047
-0.026891522,-0.024179983
-0.010538642,-0.016591252
-0.006627219,-0.012050833
-0.044300877,-0.042675159
-0.015451473,-0.010201819
-0.036047082,-0.041003809
-0.014027034,-0.010747664
-0.035025381,-0.032138728
-0.012502842,-0.01438999
-0.043551441,-0.036310108
-0.018257809,-0.023421589
-0.012323549,-0.004796663
-0.009918068,-0.01850378
-0.014659018,-0.004619402
-0.027813713,-0.023204197
-0.019057592,-0.004493943
-0.013914096,-0.008751903
-0.004703477,-0.017658349
-0.045329129,-0.026027914
-0.009424084,-0.004453912
-0.004862579,-0.017895351
-0.004862579,-0.013987432
-0.033873343,-0.03263734
-0.004959034,-0.004773765
-0.014951246,-0.028779979
-0.026396832,-0.013957483
-0.009820666,-0.004728618
-0.018786127,-0.027716409
-0.024195245,-0.023755422
-0.014014661,-0.014600085
-0.01185856,-0.009593326
-0.022037966,-0.019372499
-0.008171378,-0.009780991
-0.008222222,-0.014671486
-0.026663679,-0.018990073
-0.006445672,-0.010118786
-0.030477032,-0.025032369
-0.026183722,-0.014459346
-0.01434013,-0.019561982
-0.012502842,-0.006072436
-0.017034991,-0.026183722
-0.023154516,-0.020034843
-0.006336541,-0.006222222
-0.017477563,-0.020572451
-0.015384615,-0.016894977
-0.038085938,-0.036460752
-0.004822335,-0.017594601
-0.011701857,-0.015632633
-0.020387867,-0.020135856
-0.008608655,-0.016753453
-0.027927716,-0.021183514
-0.008932883,-0.004469537
-0.022071307,-0.021831989
-0.03422619,-0.035904901
-0.020433591,-0.020595533
-0.024331486,-0.015628757
-0.029382716,-0.040547142
-0.020970187,-0.023699124
-0.011622031,-0.016782856
-0.014027034,-0.01702462
-0.006983963,-0.004796163
-0.008950771,-0.004758327
-0.00677474,-0.006854345
-0.008725603,-0.006712963
-0.006485986,-0.010953158
-0.006528328,-0.011074458
-0.018632179,-0.018715996
-0.006112203,-0.00193882
-0.001956522,-0.004035684
-0.008226889,-0.011914716
-0.008277064,-0.02429585
-0.024818801,-0.014764213
-0.020195578,-0.006007295
-0.014346333,-0.019457669
-0.014483884,-0.004943357
-0.019457669,-0.01469675
-0.005066498,-0.01092437
-0.009886715,-0.009728835
-0.028358518,-0.032998565
-0.010012782,-0.00402713
-0.004446915,-0.00840925
-0.008345171,-0.007978723
-0.016903435,-0.007875335
-0.030181087,-0.047964871
-0.025460455,-0.011896783
-0.017602372,-0.040189927
-0.008864579,-0.01254417
-0.004171201,-0.046821094
-0.017450404,-0.012136752
-0.004259095,-0.016984127
-0.016047297,-0.018924936
-0.004120172,-0.018924936
-0.004086498,-0.026399491
-0.032484185,-0.019438092
-0.012723096,-0.007996002
-0.008271735,-0.007750686
-0.008206531,-0.00389042
-0.028615756,-0.027386028
-0.012723096,-0.012068672
-0.004295686,-0.016345492
-0.033862057,-0.028102252
-0.021951669,-0.020902282
-0.013391173,-0.025262409
-0.004206291,-0.008060453
-0.03067034,-0.016382253
-0.040180248,-0.020645385
-0.004407714,-0.012042148
-0.017524442,-0.024208566
-0.017837026,-0.00815406
-0.012239269,-0.026457541
-0.015367195,-0.010386613
-0.011092282,-0.019241119
-0.044399439,-0.039237207
-0.003912618,-0.016992717
-0.034751543,-0.031086578
-0.011398298,-0.00336984
-0.003912618,-0.006621584
-0.007617838,-0.006512401
-0.015192708,-0.019944212
-0.015427087,-0.010173377
-0.01910419,-0.006644049
-0.015548282,-0.020350078
-0.01634599,-0.010349854
-0.016444521,-0.014140521
-0.016719465,-0.028387868
-0.008412386,-0.014608642
-0.01299639,-0.011040274
-0.034747623,-0.037563131
-0.013518588,-0.022825219
-0.013155457,-0.011291349
-0.008595465,-0.036734064
-0.026378897,-0.026758532
-0.022546419,-0.027603306
-0.009110293,-0.012068672
-0.018244671,-0.028043661
-0.014018692,-0.004129388
-0.014020537,-0.012266759
-0.014087302,-0.024908553
-0.009567471,-0.012861736
-0.028778426,-0.034382917
-0.004877058,-0.022434719
-0.014907086,-0.009217457
-0.030472637,-0.060186064
-0.014202335,-0.00436224
-0.004736531,-0.008412198
-0.024191949,-0.02156239
-0.004669261,-0.004307374
-0.032610781,-0.037587562
-0.004714202,-0.013014798
-0.033550424,-0.035223988
-0.004714202,-0.008595989
-0.018709431,-0.029215787
-0.014068221,-0.008623724
-0.01426896,-0.025918693
-0.004669261,-0.012959347
-0.009312049,-0.004152968
-0.018607328,-0.016854909
-0.013084782,-0.008268647
-0.011937858,-0.011005578
-0.007881773,-0.017930629
-0.016219795,-0.018258007
-0.011986864,-0.007132244
-0.003909432,-0.003540345
-0.004088307,-0.007253886
-0.027914614,-0.029182879
-0.012195122,-0.007292752
-0.004004004,-0.003748126
-0.01239531,-0.010985704
-0.008275629,-0.014857489
-0.016859673,-0.011234226
-0.008514986,-0.018999073
-0.016760732,-0.015252918
-0.021214212,-0.015610067
-0.004037006,-0.003665801
-0.008207705,-0.007455873
-0.004037006,-0.003611738
-0.007914715,-0.014573826
-0.011323642,-0.003479471
-0.014196726,-0.019983797
-0.006974096,-0.02984067
-0.017690206,-0.010126231
-0.013948192,-0.003306696
-0.010681293,-0.003455903
-0.003570409,-0.009697131
-0.023975467,-0.035747385
-0.003570409,-0.003432651
-0.021069227,-0.020253513
-0.010912845,-0.010265785
-0.006949369,-0.003503363
-0.014138817,-0.013781465
-0.014196726,-0.024383288
-0.017629354,-0.006987024
-0.003501605,-0.007036186
-0.006998001,-0.003455903
-0.010606278,-0.003329172
-0.003439874,-0.006683033
-0.014238458,-0.010160648
-0.003608545,-0.010125889
-0.014196726,-0.027094277
-0.014494876,-0.01040924
-0.021839251,-0.010662824
-0.010845342,-0.007011017
-0.014666268,-0.010662824
-0.018474016,-0.010662824
-0.011323642,-0.018106875
-0.010834553,-0.006890733
-0.021758437,-0.017275559
-0.003618272,-0.003602306
-0.00404157,-0.001098448
-0.010869565,-0.013745704
-0.010909091,-0.006920415
-0.011029412,-0.010452962
-0.003717472,-0.003558719
-0.011152416,-0.014234875
-0.007272727,-0.010452962
-0.003571429,-0.003436426
-0.010752688,-0.006896552
