altitude,sunshine (yearly value averaged over 1961-1990)
1125.0,1583.8
438.0,1734.6
3.0,1499.0
37.0,1505.1
712.0,1667.4
155.0,1427.2
7.0,1506.3
91.0,1464.7
75.0,1672.8
839.0,1353.5
270.0,1403.2
505.0,1527.8
487.0,1520.4
374.0,1505.8
112.0,1691.4
231.0,1448.3
585.0,1583.3
705.0,1755.0
27.0,1626.5
4.0,1635.0
282.0,1452.0
805.0,1461.3
46.0,1445.0
973.0,1857.5
92.0,1504.2
754.0,1628.6
417.0,1620.0
850.0,1683.9
443.0,1640.2
776.0,1362.8
102.0,1512.3
520.0,1562.0
436.0,1703.5
747.0,1627.6
5.0,1543.0
119.0,1346.3
300.0,1337.4
344.5,1574.8
7.0,1549.9
9.0,1625.4
365.0,1659.9
356.0,1528.9
138.0,1465.8
141.0,1502.4
758.0,1700.4
818.0,1612.7
44.0,1426.8
284.0,1375.8
185.0,1428.1
98.0,1664.8
341.0,1590.9
22.0,1460.2
157.0,1445.8
92.0,1446.3
26.0,1714.0
22.0,1355.7
161.0,1448.2
5.0,1619.2
17.0,1610.6
444.0,1497.1
58.0,1426.4
11.0,1495.6
76.0,1608.5
419.0,1473.0
96.0,1673.2
186.0,1422.6
547.0,1466.3
450.0,1487.7
77.0,1529.4
313.0,1555.2
621.0,1530.7
42.0,1482.9
405.0,1639.7
273.0,1563.9
63.0,1636.7
515.0,1707.1
528.0,1709.1
515.0,1681.2
62.0,1528.2
81.0,1647.9
111.0,1370.0
500.0,1323.0
26.0,1492.1
38.0,1583.3
125.0,1639.2
64.0,1669.6
26.0,1384.0
425.0,1336.4
11.0,1628.0
627.0,1540.9
314.0,1697.8
280.0,1459.9
490.0,1493.8
806.0,1596.2
276.0,1701.6
110.0,1634.0
150.0,1612.4
95.0,1433.4
409.0,1682.5
435.0,1365.3
246.0,1689.4
386.0,1424.4
24.0,1571.1
81.0,1692.2
40.0,1715.3
123.0,1432.3
1640.0,1673.0
109.0,1459.4
366.0,1646.0
470.0,1489.5
690.0,1720.9
131.0,1536.2
287.0,1716.0
116.0,1568.7
444.0,1588.8
4.0,1686.5
87.0,1462.1
747.0,1549.5
588.0,1682.0
692.0,1158.7
320.0,1660.8
193.0,1393.8
333.0,1449.0
135.0,1450.9
795.0,1524.0
5.0,1485.6
155.0,1592.3
155.0,1323.7
609.0,1377.2
43.0,1598.3
170.0,1493.3
993.0,1724.8
937.0,1351.5
635.0,1492.4
616.0,1375.0
265.0,1313.4
504.0,1485.4
365.0,1645.6
444.0,1432.8
792.0,1600.9
59.0,1595.6
21.0,1529.6
186.0,1312.0
611.0,1354.0
360.0,1575.0
77.0,1524.6
365.0,1382.3
147.0,1306.0
87.0,1578.9
734.0,1765.6
350.0,1621.2
286.0,1691.7
311.0,1692.2
401.0,1684.7
837.0,1493.6
46.0,1607.2
61.0,1515.0
396.0,1626.6
870.0,1656.6
846.0,1435.2
781.0,1420.0
640.0,1693.3
80.0,1639.4
9.0,1619.7
700.0,1303.0
144.0,1264.5
265.0,1572.6
490.0,1697.1
50.0,1486.6
571.0,1698.9
471.0,1611.5
291.0,1561.2
240.0,1600.8
51.0,1373.0
223.0,1739.3
176.0,1262.0
380.0,1512.6
940.0,1508.9
70.0,1607.9
921.0,1552.2
438.0,1574.4
470.0,1679.5
146.0,1379.0
553.0,1602.8
440.0,1666.0
219.0,1638.7
422.0,1679.5
1832.0,1675.6
140.0,1463.1
3.0,1740.7
142.0,1485.5
740.0,1701.8
580.0,1365.8
681.0,1341.3
105.0,1630.3
133.0,1422.1
464.0,1611.5
291.0,1422.0
1.0,1596.2
268.0,1565.4
877.0,1411.4
2960.0,1846.3
615.0,1623.4
