altitude,precipitation (yearly value averaged over 1961-1990)
18.0,790.4
59.0,655.6
269.0,811.1
404.0,552.6
111.0,726.7
500.0,879.3
496.0,860.9
4.0,718.6
140.0,608.0
2.0,836.6
77.0,817.6
350.0,1422.0
530.0,983.2
272.0,718.1
1053.0,1730.9
883.0,1405.8
1008.0,1434.0
567.0,742.0
242.0,756.0
977.0,1209.8
17.0,815.7
128.0,795.1
440.0,1028.1
1125.0,1930.8
438.0,872.0
3.0,864.0
37.0,809.9
712.0,1599.8
155.0,584.7
7.0,791.5
91.0,675.7
75.0,534.8
839.0,1475.9
270.0,655.6
505.0,860.1
487.0,807.9
374.0,715.1
112.0,770.3
231.0,698.4
585.0,971.9
705.0,1273.4
27.0,754.2
4.0,776.9
282.0,729.0
805.0,1005.1
46.0,754.1
973.0,899.4
92.0,803.0
754.0,1040.2
417.0,684.6
850.0,1401.2
443.0,849.0
776.0,1887.7
102.0,517.2
520.0,950.2
436.0,844.7
747.0,961.5
5.0,736.6
119.0,470.4
300.0,915.5
344.5,745.9
7.0,834.6
9.0,741.0
365.0,692.5
356.0,662.6
138.0,584.6
141.0,512.0
758.0,1024.3
818.0,1306.4
44.0,774.4
284.0,843.3
185.0,682.1
98.0,563.0
341.0,1090.0
22.0,798.9
157.0,913.6
92.0,796.4
26.0,745.3
22.0,815.0
161.0,795.9
5.0,685.5
17.0,545.2
444.0,1213.5
58.0,808.4
11.0,611.8
76.0,494.0
419.0,907.9
96.0,667.6
186.0,755.9
547.0,1168.7
450.0,660.9
77.0,594.8
313.0,972.8
621.0,1101.4
42.0,701.1
405.0,897.2
273.0,1006.1
63.0,531.0
515.0,958.9
528.0,966.9
515.0,974.4
62.0,756.8
81.0,536.1
111.0,661.6
500.0,803.8
26.0,874.5
38.0,510.9
125.0,554.2
64.0,584.2
26.0,703.6
425.0,648.3
11.0,769.3
627.0,871.6
314.0,644.2
280.0,809.3
490.0,1298.6
806.0,1831.3
276.0,841.3
110.0,677.1
150.0,570.4
95.0,856.0
409.0,936.6
435.0,682.7
246.0,780.4
386.0,581.1
24.0,654.3
81.0,589.8
40.0,607.8
123.0,437.8
1640.0,1971.6
109.0,874.2
366.0,641.8
470.0,1665.5
690.0,1715.4
131.0,921.1
287.0,1005.2
116.0,883.3
444.0,1091.2
4.0,589.0
87.0,839.6
747.0,1635.4
588.0,865.6
692.0,1837.3
320.0,862.9
193.0,820.7
333.0,944.6
135.0,798.3
795.0,1702.1
5.0,810.3
155.0,661.1
155.0,867.6
609.0,1275.3
43.0,925.7
170.0,565.5
993.0,1503.2
937.0,1288.3
635.0,1088.4
616.0,1463.2
265.0,954.0
504.0,1189.9
365.0,860.7
444.0,908.9
792.0,1364.5
59.0,620.3
21.0,541.0
186.0,858.7
611.0,831.3
360.0,944.2
77.0,811.2
365.0,742.7
147.0,687.9
87.0,471.3
734.0,1068.5
350.0,783.5
286.0,691.0
311.0,663.6
401.0,679.0
837.0,1570.4
46.0,544.0
61.0,539.7
396.0,1001.4
870.0,1246.5
846.0,1328.7
781.0,1936.4
640.0,1468.5
80.0,541.6
9.0,639.4
700.0,1557.1
144.0,754.1
265.0,784.3
490.0,904.9
50.0,622.4
571.0,748.3
471.0,938.8
291.0,766.1
240.0,509.7
51.0,803.5
223.0,686.6
176.0,823.9
380.0,784.8
940.0,1308.6
70.0,574.4
921.0,1083.8
438.0,684.5
470.0,787.7
146.0,623.6
553.0,585.4
440.0,981.5
219.0,757.7
422.0,665.0
1832.0,1713.8
140.0,713.3
3.0,571.2
142.0,636.3
740.0,1385.3
580.0,1225.7
681.0,1360.2
105.0,563.4
133.0,713.4
464.0,800.5
291.0,1286.9
1.0,792.8
268.0,602.2
877.0,976.7
2960.0,2003.1
615.0,1026.6
